a, 0, 0, 1
b, 1, 1, 1
c, 2, 2, 1
c, 3, 2, 2
c, 4, 1, 2
c, 5, 1, 3
c, 6, 2, 3
d, 7, 2, 4
e, 8, 3, 4
f, 9, 4, 4
g, 10, 5, 4
h, 11, 6, 4
i, 12, 7, 4
j, 13, 7, 3
k, 14, 7, 2
l, 15, 7, 1
m, 16, 7, 0
n, 17, 6, 0
o, 18, 5, 0
p, 19, 4, 0
q, 20, 3, 0
r, 21, 3, 1
s, 22, 3, 2
t, 23, 3, 3
u, 24, 4, 3
v, 25, 5, 3
w, 26, 6, 3
x, 27, 6, 2
x, 28, 6, 1
x, 29, 5, 1
y, 30, 4, 1
z, 31, 4, 2
E, 32, 5, 2
32
a, 0, 0, 21
b, 1, 1, 21
c, 2, 2, 21
c, 3, 3, 21
c, 4, 4, 21
c, 5, 5, 21
c, 6, 6, 21
c, 7, 7, 21
c, 8, 8, 21
c, 9, 9, 21
c, 10, 10, 21
c, 11, 11, 21
c, 12, 12, 21
c, 13, 13, 21
c, 14, 14, 21
c, 15, 15, 21
c, 16, 16, 21
c, 17, 17, 21
c, 18, 18, 21
c, 19, 19, 21
c, 20, 20, 21
c, 21, 21, 21
c, 22, 22, 21
c, 23, 23, 21
c, 24, 23, 22
c, 25, 22, 22
c, 26, 21, 22
c, 27, 20, 22
c, 28, 19, 22
c, 29, 18, 22
c, 30, 17, 22
c, 31, 16, 22
c, 32, 15, 22
c, 33, 14, 22
c, 34, 13, 22
c, 35, 12, 22
c, 36, 11, 22
c, 37, 10, 22
c, 38, 9, 22
c, 39, 8, 22
c, 40, 8, 23
c, 41, 9, 23
c, 42, 10, 23
c, 43, 11, 23
c, 44, 12, 23
c, 45, 13, 23
c, 46, 14, 23
c, 47, 15, 23
c, 48, 16, 23
c, 49, 17, 23
c, 50, 18, 23
c, 51, 19, 23
c, 52, 20, 23
c, 53, 21, 23
c, 54, 22, 23
c, 55, 23, 23
c, 56, 24, 23
c, 57, 25, 23
c, 58, 26, 23
c, 59, 27, 23
c, 60, 28, 23
c, 61, 29, 23
c, 62, 30, 23
c, 63, 31, 23
c, 64, 32, 23
c, 65, 33, 23
c, 66, 34, 23
c, 67, 35, 23
c, 68, 36, 23
c, 69, 37, 23
c, 70, 38, 23
c, 71, 39, 23
c, 72, 40, 23
c, 73, 41, 23
c, 74, 41, 24
c, 75, 42, 24
c, 76, 42, 25
c, 77, 43, 25
c, 78, 44, 25
c, 79, 45, 25
c, 80, 46, 25
c, 81, 46, 26
c, 82, 47, 26
c, 83, 48, 26
-1
